Gene,Batch_Symbol
AT1G52310,AT1G52310
AT1G28390,#N/A
AT2G39180,CRR2
AT3G09780,CRR1
AT3G51990,#N/A
AT3G55950,CRR3
AT3G59420,#N/A
AT5G23170,#N/A
AT5G47850,CCR4
AT1G30570,HERK2
AT2G21480,Y2214
AT2G23200,At2G23200
AT2G39360,#N/A
AT3G04690,ANX1
AT3G46290,HERK1
AT3G51550,#N/A
AT4G39110,AT4G39110
AT5G24010,AT5g24010
AT5G28680,ANX2
AT5G38990,#N/A
AT5G39000,#N/A
AT5G54380,THE1
AT5G59700,#N/A
AT5G61350,#N/A
AT3G45860,CRK4
AT4G00960,#N/A
AT4G00970,CRK41
AT4G04490,CRK36
AT4G04500,CRK37
AT4G04510,CRK38
AT4G04540,CRK39
AT4G04570,CRK40
AT4G05200,CRK25
AT4G11460,CRK30
AT4G11470,CRK31
AT4G11480,CRK32
AT4G11490,CRK33
AT4G11500,#N/A
AT4G11530,CRK34
AT4G21400,CRK28
AT4G21410,CRK29
AT4G23130,CRK5
AT4G23140,CRK6
AT4G23150,CRK7
AT4G23160,#N/A
AT4G23180,CRK10
AT4G23190,RLK3
AT4G23200,CRK12
AT4G23210,CRK13
AT4G23220,CRK14
AT4G23231,#N/A
AT4G23240,#N/A
AT4G23250,CRK17
AT4G23260,CRK18
AT4G23270,CRK19
AT4G23280,CRK20
AT4G23290,CRK21
AT4G23300,CRK22
AT4G23310,CRK23
AT4G23320,CRK24
AT4G38830,CRK26
AT1G19090,#N/A
AT1G70520,ASG6
AT1G70530,CRK3
AT4G28670,AT4G28670
AT5G40380,CRK42
AT1G70740,#N/A
AT4G21230,CRK27
AT4G11890,#N/A
AT1G53730,SRF6
AT3G45920,#N/A
AT1G54820,#N/A
AT2G20300,AT2G20300
AT3G58690,#N/A
AT4G02010,AT4G02010
AT5G56890,AT5G56890
AT1G15530,AT1G15530
AT1G70110,AT1G70110
AT1G70130,AT1G70130
AT2G29220,AT2G29220
AT2G29250,AT2G29250
AT2G32800,#N/A
AT2G37710,AT2G37710
AT2G43690,AT2G43690
AT2G43700,AT2G43700
AT3G08870,AT3G08870
AT3G45330,AT3G45330
AT3G45390,AT3G45390
AT3G45410,AT3G45410
AT3G45420,AT3G45420
AT3G45430,AT3G45430
AT3G45440,AT3G45440
AT3G46760,#N/A
AT3G53380,AT3G53380
AT3G53810,#N/A
AT3G55550,AT3G55550
AT3G59700,ATHLECRK
AT3G59730,AT3G59730
AT3G59740,AT3G59740
AT3G59750,AT3G59750
AT4G02410,AT4G02410
AT4G02420,AT4G02420
AT4G04960,AT4G04960
AT4G28350,AT4G28350
AT4G29050,AT4G29050
AT5G01540,AT5G01540
AT5G01550,AT5G01550
AT5G01560,AT5G01560
AT5G03140,AT5G03140
AT5G06740,AT5G06740
AT5G10530,AT5G10530
AT5G42120,AT5G42120
AT5G55830,AT5G55830
AT5G59260,#N/A
AT5G59270,#N/A
AT5G60270,AT5G60270
AT5G60280,AT5G60280
AT5G60300,AT5G60300
AT5G60310,AT5G60310
AT5G60320,AT5G60320
AT5G65600,AT5G65600
AT1G66910,AT1G66910
AT1G66920,AT1G66920
AT1G66930,AT1G66930
AT1G66980,AT1G66980
AT1G67000,AT1G67000
AT1G70250,AT1G70250
AT4G18250,AT4G18250
AT5G38240,AT5G38240
AT5G38250,AT5G38250
AT5G38260,AT5G38260
AT5G38280,AT5G38280
AT5G39020,#N/A
AT5G39030,Y5393
AT1G05700,AT1G05700
AT1G07550,AT1G07550
AT1G07560,AT1G07560
AT1G49100,AT1G49100
AT1G51620,#N/A
AT1G51790,AT1G51790
AT1G51800,IOS1
AT1G51810,AT1G51810
AT1G51820,AT1G51820
AT1G51830,AT1G51830
AT1G51850,AT1G51850
AT1G51860,AT1G51860
AT1G51870,#N/A
AT1G51880,AT1G51880
AT1G51890,AT1G51890
AT1G51910,AT1G51910
AT1G62090,#N/A
AT2G04300,AT2G04300
AT2G14440,AT2G14440
AT2G14510,#N/A
AT2G19190,FRK1
AT2G19210,#N/A
AT2G19230,AT2G19230
AT2G28960,AT2G28960
AT2G28970,AT2G28970
AT2G28990,AT2G28990
AT2G29000,AT2G29000
AT3G21340,AT3G21340
AT3G46330,AT3G46330
AT3G46340,AT3G46340
AT3G46350,AT3G46350
AT3G46370,AT3G46370
AT3G46400,AT3G46400
AT3G46410,#N/A
AT3G46420,AT3G46420
AT4G20450,AT4G20450
AT4G29180,RHS16
AT4G29450,AT4G29450
AT4G29990,AT4G29990
AT5G16900,AT5G16900
AT5G59650,AT5G59650
AT5G59660,AT5G59660
AT5G59670,AT5G59670
AT5G59680,AT5G59680
AT5G15730,#N/A
AT5G54590,#N/A
AT1G67720,AT1G67720
AT2G37050,AT2G37050
AT5G48740,AT5G48740
AT1G34210,SERK2
AT1G60800,NIK3
AT1G71830,SERK1
AT2G13790,SERK4
AT2G13800,SERK5
AT2G23950,AT2G23950
AT3G25560,NIK2
AT4G30520,#N/A
AT4G33430,BAK1
AT5G10290,#N/A
AT5G16000,NIK1
AT5G45780,#N/A
AT5G63710,AT5G63710
AT5G65240,#N/A
AT1G10860,#N/A
AT1G25320,AT1G25320
AT1G48480,#N/A
AT1G50610,PRK5
AT1G60630,AT1G60630
AT1G64210,AT1G64210
AT1G66830,AT1G66830
AT1G67510,AT1G67510
AT1G68400,AT1G68400
AT1G72460,AT1G72460
AT2G01210,AT2G01210
AT2G07040,#N/A
AT2G15300,AT2G15300
AT2G23300,AT2G23300
AT2G26730,#N/A
AT2G27060,FIR
AT2G36570,#N/A
AT2G42290,AT2G42290
AT3G02880,AT3G02880
AT3G08680,#N/A
AT3G17840,RLK902
AT3G20190,PRK4
AT3G24660,TMKL1
AT3G42880,PRK3
AT3G50230,#N/A
AT3G51740,IMK2
AT3G56100,MRLK
AT3G57830,#N/A
AT4G20940,GHR1
AT4G23740,#N/A
AT4G31250,AT4G31250
AT4G34220,AT4G34220
AT4G37250,#N/A
AT5G05160,#N/A
AT5G07620,#N/A
AT5G10020,AT5G10020
AT5G16590,#N/A
AT5G20690,PRK6
AT5G24100,#N/A
AT5G35390,PRK1
AT5G41680,#N/A
AT5G43020,#N/A
AT5G53320,#N/A
AT5G58300,#N/A
AT5G61570,#N/A
AT5G67200,AT5G67200
AT5G67280,#N/A
AT2G45340,AT2G45340
AT4G22730,AT4G22730
AT5G51560,#N/A
AT2G25790,SKM1
AT1G24650,AT1G24650
AT1G66150,TMK1
AT2G01820,AT2G01820
AT3G23750,#N/A
AT1G11140,#N/A
AT1G78980,SRF5
AT2G20850,SRF1
AT3G13065,#N/A
AT3G14350,SRF7
AT4G03390,SRF3
AT4G22130,SRF8
AT5G06820,SRF2
AT1G14390,AT1G14390
AT1G63430,AT1G63430
AT2G02780,AT2G02780
AT2G40270,#N/A
AT3G03770,#N/A
AT3G56050,#N/A
AT4G18640,#N/A
AT4G20790,#N/A
AT5G07150,AT5G07150
AT5G14210,AT5G14210
AT5G41180,#N/A
AT5G45840,AT5G45840
AT5G58540,#N/A
AT5G63410,AT5G63410
AT1G12460,AT1G12460
AT1G62950,AT1G62950
AT1G75640,MUS
AT3G28040,AT3G28040
AT3G56370,AT3G56370
AT4G36180,AT4G36180
AT5G01890,PXC2
AT2G24230,AT2G24230
AT5G45800,#N/A
AT5G58150,AT5G58150
AT1G06840,AT1G06840
AT1G79620,VRLK1
AT3G53590,AT3G53590
AT5G01950,AT5G01950
AT5G37450,AT5G37450
AT5G49760,AT5G49760
AT5G49770,AT5G49770
AT5G49780,AT5G49780
AT1G07655,#N/A
AT1G16670,#N/A
AT1G29720,AT1G29720
AT1G29730,AT1G29730
AT1G29740,AT1G29740
AT1G29750,RKF1
AT1G53420,AT1G53420
AT1G53430,NILR2
AT1G53440,AT1G53440
AT1G56120,AT1G56120
AT1G56130,AT1G56130
AT1G56140,AT1G56140
AT3G09010,#N/A
AT3G14840,#N/A
AT1G27190,BIR3
AT1G69990,BIR4
AT3G28450,#N/A
AT5G48380,BIR1
AT1G55610,BRL1
AT1G72300,PSY1R
AT1G74360,AT1G74360
AT2G01950,BRL2
AT2G02220,PSKR1
AT3G13380,BRL3
AT4G39400,BRI1
AT5G07280,EMS1
AT5G42440,#N/A
AT5G53890,PSKR2
AT1G34420,AT1G34420
AT2G41820,#N/A
AT1G08590,AT1G08590
AT1G09970,SENE
AT1G17230,AT1G17230
AT1G17750,PEPR2
AT1G28440,AT1G28440
AT1G34110,RGI5
AT1G72180,#N/A
AT1G73080,PEPR1
AT1G75820,CLV1
AT2G33170,AT2G33170
AT3G19700,IKU2
AT3G24240,RGFR1
AT3G49670,BAM2
AT4G20140,GSO1
AT4G20270,BAM3
AT4G26540,AT4G26540
AT4G28490,HAESA
AT4G28650,AT4G28650
AT5G44700,GSO2/EDA23
AT5G48940,AT5G48940
AT5G49660,XIP1
AT5G56040,SKM2
AT5G61480,PXY
AT5G63930,AT5G63930
AT5G65700,BAM1
AT5G65710,HSL2
AT2G24130,AT2G24130
AT3G47090,AT3G47090
AT3G47110,AT3G47110
AT3G47570,AT3G47570
AT3G47580,AT3G47580
