Gene,Expression_Symbol
AT1G52310,#N/A
AT1G28390,#N/A
AT2G39180,#N/A
AT3G09780,#N/A
AT3G51990,#N/A
AT3G55950,#N/A
AT3G59420,#N/A
AT5G23170,#N/A
AT5G47850,#N/A
AT1G30570,#N/A
AT2G21480,#N/A
AT2G23200,#N/A
AT2G39360,#N/A
AT3G04690,#N/A
AT3G46290,#N/A
AT3G51550,#N/A
AT4G39110,#N/A
AT5G24010,#N/A
AT5G28680,#N/A
AT5G38990,#N/A
AT5G39000,#N/A
AT5G54380,#N/A
AT5G59700,#N/A
AT5G61350,#N/A
AT3G45860,#N/A
AT4G00960,#N/A
AT4G00970,#N/A
AT4G04490,#N/A
AT4G04500,#N/A
AT4G04510,#N/A
AT4G04540,#N/A
AT4G04570,#N/A
AT4G05200,#N/A
AT4G11460,#N/A
AT4G11470,#N/A
AT4G11480,#N/A
AT4G11490,#N/A
AT4G11500,#N/A
AT4G11530,#N/A
AT4G21400,#N/A
AT4G21410,#N/A
AT4G23130,#N/A
AT4G23140,#N/A
AT4G23150,#N/A
AT4G23160,#N/A
AT4G23180,#N/A
AT4G23190,#N/A
AT4G23200,#N/A
AT4G23210,#N/A
AT4G23220,#N/A
AT4G23231,#N/A
AT4G23240,#N/A
AT4G23250,#N/A
AT4G23260,#N/A
AT4G23270,#N/A
AT4G23280,#N/A
AT4G23290,#N/A
AT4G23300,#N/A
AT4G23310,#N/A
AT4G23320,#N/A
AT4G38830,#N/A
AT1G19090,#N/A
AT1G70520,#N/A
AT1G70530,#N/A
AT4G28670,#N/A
AT5G40380,#N/A
AT1G70740,#N/A
AT4G21230,#N/A
AT4G11890,#N/A
AT1G53730,SRF6
AT3G45920,#N/A
AT1G54820,#N/A
AT2G20300,#N/A
AT3G58690,#N/A
AT4G02010,#N/A
AT5G56890,#N/A
AT1G15530,#N/A
AT1G70110,#N/A
AT1G70130,#N/A
AT2G29220,#N/A
AT2G29250,#N/A
AT2G32800,#N/A
AT2G37710,#N/A
AT2G43690,#N/A
AT2G43700,#N/A
AT3G08870,#N/A
AT3G45330,#N/A
AT3G45390,#N/A
AT3G45410,#N/A
AT3G45420,#N/A
AT3G45430,#N/A
AT3G45440,#N/A
AT3G46760,#N/A
AT3G53380,#N/A
