Gene,Protein,Symbols,Batch_Symbol
AT2G23450,AT2G23450.1,,
AT2G48010,AT2G48010.1,RKF3,AT2G48010
AT4G02010,AT4G02010.1,,AT4G02010
AT1G30570,AT1G30570.1,HERK2,HERK2
AT5G38260,AT5G38260.1,,AT5G38260
AT5G60900,AT5G60900.1,RLK1,RKL1
AT1G19090,AT1G19090.1,"RKF2, CRK1",
AT5G42120,AT5G42120.1,,AT5G42120
AT5G65600,AT5G65600.1,,AT5G65600
AT5G10530,AT5G10530.1,,AT5G10530
AT2G29220,AT2G29220.1,,AT2G29220
AT2G29250,AT2G29250.1,,AT2G29250
AT5G59260,AT5G59260.1,,
AT3G45420,AT3G45420.1,,AT3G45420
AT3G45410,AT3G45410.1,,AT3G45410
AT3G45430,AT3G45430.1,,AT3G45430
AT5G60310,AT5G60310.1,,AT5G60310
AT5G60300,AT5G60300.1,,AT5G60300
AT3G45440,AT3G45440.1,,AT3G45440
AT4G28350,AT4G28350.1,,AT4G28350
AT4G04960,AT4G04960.1,,AT4G04960
AT4G29050,AT4G29050.1,,AT4G29050
AT5G60280,AT5G60280.1,,AT5G60280
AT5G60320,AT5G60320.1,,AT5G60320
AT3G45330,AT3G45330.1,,AT3G45330
AT1G70110,AT1G70110.1,,AT1G70110
AT4G02410,AT4G02410.1,,AT4G02410
AT2G37710,AT2G37710.1,RLK,AT2G37710
AT3G53810,AT3G53810.1,,
AT4G02420,AT4G02420.1,,AT4G02420
AT3G55550,AT3G55550.1,,AT3G55550
AT3G08870,AT3G08870.1,,AT3G08870
AT5G01550,AT5G01550.1,LECRKA4.2,AT5G01550
AT5G01540,AT5G01540.1,LECRKA4.1,AT5G01540
AT5G01560,AT5G01560.1,LECRKA4.3,AT5G01560
AT5G55830,AT5G55830.1,,AT5G55830
AT3G53380,AT3G53380.1,,AT3G53380
AT5G03140,AT5G03140.1,,AT5G03140
AT2G43690,AT2G43690.1,,AT2G43690
AT3G59730,AT3G59730.1,,AT3G59730
AT3G59740,AT3G59740.1,,AT3G59740
AT2G43700,AT2G43700.1,,AT2G43700
AT3G59750,AT3G59750.1,,AT3G59750
AT3G59700,AT3G59700.1,"ATHLECRK, LECRK1, HLECRK",ATHLECRK
AT1G70130,AT1G70130.1,,AT1G70130
AT5G60270,AT5G60270.1,,AT5G60270
AT3G45390,AT3G45390.1,,AT3G45390
AT2G46850,AT2G46850.1,,AT2G46850
AT3G53840,AT3G53840.1,,
AT5G02070,AT5G02070.1,,
AT4G32300,AT4G32300.1,SD2-5,SD2-5
AT5G66790,AT5G66790.1,,
AT3G55950,AT3G55950.1,"CCR3, ATCRR3",CRR3
AT5G47850,AT5G47850.1,CCR4,CCR4
AT5G35370,AT5G35370.1,,AT5G35370
AT4G11900,AT4G11900.1,,AT4G11900
AT4G00340,AT4G00340.1,RLK4,RLK4
AT2G19130,AT2G19130.1,,AT2G19130
AT1G11410,AT1G11410.1,,AT1G11410
AT1G11340,AT1G11340.1,,AT1G11340
AT1G61610,AT1G61610.1,,AT1G61610
AT4G21390,AT4G21390.1,B120,B120
AT1G11300,AT1G11300.1,,AT1G11300
AT1G11350,AT1G11350.1,"CBRLK1, SD1-13, RKS2",CBRLK1
AT1G11330,AT1G11330.1,,AT1G11330
AT1G61370,AT1G61370.1,,AT1G61370
AT1G61360,AT1G61360.1,,AT1G61360
AT1G61380,AT1G61380.1,SD1-29,SD1-29
AT1G61390,AT1G61390.1,,AT1G61390
AT1G11280,AT1G11280.1,,
AT1G61480,AT1G61480.1,,AT1G61480
AT1G61550,AT1G61550.1,,AT1G61550
AT1G61500,AT1G61500.1,,AT1G61500
AT1G61420,AT1G61420.1,,AT1G61420
AT1G61490,AT1G61490.1,,AT1G61490
AT1G61430,AT1G61430.1,,AT1G61430
AT1G61400,AT1G61400.1,,AT1G61400
AT1G61440,AT1G61440.1,,AT1G61440
AT1G61460,AT1G61460.1,,AT1G61460
AT4G27290,AT4G27290.1,,
AT4G21380,AT4G21380.1,"ARK3, RK3",ARK3
AT1G65800,AT1G65800.1,"ARK2, RK2",ARK2
AT1G65790,AT1G65790.1,"ARK1, RK1",ARK1
AT4G27300,AT4G27300.1,,AT4G27300
AT3G09780,AT3G09780.1,"CCR1, ATCRR1",CRR1
AT2G39180,AT2G39180.1,"CCR2, ATCRR2",CRR2
AT4G03230,AT4G03230.1,,AT4G03230
AT1G67520,AT1G67520.1,,
AT3G16030,AT3G16030.1,CES101,CES101
AT1G16260,AT1G16260.1,,AT1G16260
AT1G17910,AT1G17910.1,,AT1G17910
AT1G16120,AT1G16120.1,WAKL1,WAKL1
AT1G16160,AT1G16160.1,WAKL5,WAKL5
AT1G16130,AT1G16130.1,WAKL2,WAKL2
AT1G16150,AT1G16150.1,WAKL4,WAKL4
AT1G79670,AT1G79670.1,"RFO1, WAKL22",RFO1
