Tree_order,Gene,Protein,Type
1,AT2G23450,AT2G23450.1,RLK
2,AT2G48010,AT2G48010.1,RLK
3,AT4G02010,AT4G02010.1,RLK
4,AT1G30570,AT1G30570.1,RLK
5,AT5G38260,AT5G38260.1,RLK
6,AT5G60900,AT5G60900.1,RLK
7,AT1G19090,AT1G19090.1,RLK
8,AT5G42120,AT5G42120.1,RLK
9,AT5G65600,AT5G65600.1,RLK
10,AT5G10530,AT5G10530.1,RLK
11,AT2G29220,AT2G29220.1,RLK
12,AT2G29250,AT2G29250.1,RLK
13,AT5G59260,AT5G59260.1,RLK
14,AT3G45420,AT3G45420.1,RLK
15,AT3G45410,AT3G45410.1,RLK
16,AT3G45430,AT3G45430.1,RLK
17,AT5G60310,AT5G60310.1,RLK
18,AT5G60300,AT5G60300.1,RLK
19,AT3G45440,AT3G45440.1,RLK
20,AT4G28350,AT4G28350.1,RLK
21,AT4G04960,AT4G04960.1,RLK
22,AT4G29050,AT4G29050.1,RLK
23,AT5G60280,AT5G60280.1,RLK
24,AT5G60320,AT5G60320.1,RLK
25,AT3G45330,AT3G45330.1,RLK
26,AT1G70110,AT1G70110.1,RLK
27,AT4G02410,AT4G02410.1,RLK
28,AT2G37710,AT2G37710.1,RLK
29,AT3G53810,AT3G53810.1,RLK
30,AT4G02420,AT4G02420.1,RLK
31,AT3G55550,AT3G55550.1,RLK
32,AT3G08870,AT3G08870.1,RLK
33,AT5G01550,AT5G01550.1,RLK
34,AT5G01540,AT5G01540.1,RLK
35,AT5G01560,AT5G01560.1,RLK
36,AT5G55830,AT5G55830.1,RLK
37,AT3G53380,AT3G53380.1,RLK
38,AT5G03140,AT5G03140.1,RLK
39,AT2G43690,AT2G43690.1,RLK
40,AT3G59730,AT3G59730.1,RLK
41,AT3G59740,AT3G59740.1,RLK
42,AT2G43700,AT2G43700.1,RLK
43,AT3G59750,AT3G59750.1,RLK
44,AT3G59700,AT3G59700.1,RLK
45,AT1G70130,AT1G70130.1,RLK
46,AT5G60270,AT5G60270.1,RLK
47,AT3G45390,AT3G45390.1,RLK
48,AT2G46850,AT2G46850.1,RLK
49,AT3G53840,AT3G53840.1,RLK
50,AT5G02070,AT5G02070.1,RLK
51,AT4G32300,AT4G32300.1,RLK
52,AT5G66790,AT5G66790.1,RLK
53,AT3G55950,AT3G55950.1,RLK
54,AT5G47850,AT5G47850.1,RLK
55,AT5G35370,AT5G35370.1,RLK
56,AT4G11900,AT4G11900.1,RLK
57,AT4G00340,AT4G00340.1,RLK
58,AT2G19130,AT2G19130.1,RLK
59,AT1G11410,AT1G11410.1,RLK
60,AT1G11340,AT1G11340.1,RLK
61,AT1G61610,AT1G61610.1,RLK
62,AT4G21390,AT4G21390.1,RLK
63,AT1G11300,AT1G11300.1,RLK
64,AT1G11350,AT1G11350.1,RLK
65,AT1G11330,AT1G11330.1,RLK
66,AT1G61370,AT1G61370.1,RLK
67,AT1G61360,AT1G61360.1,RLK
68,AT1G61380,AT1G61380.1,RLK
69,AT1G61390,AT1G61390.1,RLK
70,AT1G11280,AT1G11280.1,RLK
71,AT1G61480,AT1G61480.1,RLK
72,AT1G61550,AT1G61550.1,RLK
73,AT1G61500,AT1G61500.1,RLK
74,AT1G61420,AT1G61420.1,RLK
75,AT1G61490,AT1G61490.1,RLK
76,AT1G61430,AT1G61430.1,RLK
77,AT1G61400,AT1G61400.1,RLK
78,AT1G61440,AT1G61440.1,RLK
79,AT1G61460,AT1G61460.1,RLK
80,AT4G27290,AT4G27290.1,RLK
81,AT4G21380,AT4G21380.1,RLK
82,AT1G65800,AT1G65800.1,RLK
83,AT1G65790,AT1G65790.1,RLK
84,AT4G27300,AT4G27300.1,RLK
85,AT3G09780,AT3G09780.1,RLK
86,AT2G39180,AT2G39180.1,RLK
87,AT4G03230,AT4G03230.1,RLK
88,AT1G67520,AT1G67520.1,RLK
89,AT3G16030,AT3G16030.1,RLK
90,AT1G16260,AT1G16260.1,RLK
91,AT1G17910,AT1G17910.1,RLK
92,AT1G16120,AT1G16120.1,RLK
93,AT1G16160,AT1G16160.1,RLK
94,AT1G16130,AT1G16130.1,RLK
95,AT1G16150,AT1G16150.1,RLK
96,AT1G79670,AT1G79670.1,RLK
97,AT1G69730,AT1G69730.1,RLK
98,AT1G79680,AT1G79680.1,RLK
99,AT4G31110,AT4G31110.1,RLK
100,AT1G19390,AT1G19390.1,RLK
101,AT4G31100,AT4G31100.1,RLK
102,AT1G16110,AT1G16110.1,RLK
103,AT1G21210,AT1G21210.1,RLK
104,AT1G21270,AT1G21270.1,RLK
105,AT1G21240,AT1G21240.1,RLK
106,AT1G21250,AT1G21250.1,RLK
107,AT1G21230,AT1G21230.1,RLK
108,AT1G11050,AT1G11050.1,RLK
109,AT1G52310,AT1G52310.1,RLK
110,AT2G21480,AT2G21480.1,RLK
111,AT4G39110,AT4G39110.1,RLK
112,AT1G67000,AT1G67000.1,RLK
113,AT1G25390,AT1G25390.1,RLK
114,AT1G66930,AT1G66930.1,RLK
115,AT1G66910,AT1G66910.1,RLK
116,AT1G67720,AT1G67720.1,RLK
117,AT2G37050,AT2G37050.3,RLK
118,AT1G51790,AT1G51790.2,RLK
119,AT1G51800,AT1G51800.1,RLK
120,AT1G51910,AT1G51910.1,RLK
121,AT1G51880,AT1G51880.1,RLK
122,AT1G51890,AT1G51890.2,RLK
123,AT1G51860,AT1G51860.1,RLK
124,AT1G51870,AT1G51870.1,RLK
125,AT4G29180,AT4G29180.2,RLK
126,AT4G29450,AT4G29450.1,RLK
127,AT1G05700,AT1G05700.2,RLK
128,AT2G19190,AT2G19190.1,RLK
129,AT4G29990,AT4G29990.1,RLK
130,AT2G19210,AT2G19210.1,RLK
131,AT2G19230,AT2G19230.1,RLK
132,AT5G59650,AT5G59650.2,RLK
133,AT1G07560,AT1G07560.1,RLK
134,AT4G20450,AT4G20450.1,RLK
135,AT2G28960,AT2G28960.2,RLK
136,AT2G29000,AT2G29000.1,RLK
137,AT3G46350,AT3G46350.1,RLK
138,AT3G46340,AT3G46340.1,RLK
139,AT3G46420,AT3G46420.1,RLK
140,AT3G46400,AT3G46400.1,RLK
141,AT3G46330,AT3G46330.1,RLK
142,AT1G07550,AT1G07550.1,RLK
143,AT2G14510,AT2G14510.1,RLK
144,AT2G14440,AT2G14440.1,RLK
145,AT5G59660,AT5G59660.3,RLK
146,AT5G59670,AT5G59670.2,RLK
147,AT5G59680,AT5G59680.1,RLK
148,AT5G16900,AT5G16900.3,RLK
149,AT1G49100,AT1G49100.1,RLK
150,AT3G21340,AT3G21340.1,RLK
151,AT2G04300,AT2G04300.2,RLK
152,AT1G51805,AT1G51805.1,RLK
153,AT1G51850,AT1G51850.2,RLK
154,AT1G51820,AT1G51820.1,RLK
155,AT2G28970,AT2G28970.1,RLK
156,AT2G28990,AT2G28990.1,RLK
157,AT1G51810,AT1G51810.1,RLK
158,AT3G46370,AT3G46370.2,RLK
159,AT1G51830,AT1G51830.2,RLK
160,AT1G28340,AT1G28340.1,RLP
161,AT5G38210,AT5G38210.1,RLK
162,AT1G18390,AT1G18390.1,RLK
163,AT4G18250,AT4G18250.1,RLK
164,AT4G23290,AT4G23290.2,RLK
165,AT5G38240,AT5G38240.1,RLK
166,AT5G38250,AT5G38250.1,RLK
167,AT1G66920,AT1G66920.1,RLK
168,AT1G66980,AT1G66980.1,RLK
169,AT3G02130,AT3G02130.1,RLK
170,AT5G63710,AT5G63710.3,RLK
171,AT5G37450,AT5G37450.2,RLK
172,AT3G53590,AT3G53590.1,RLK
173,AT5G01950,AT5G01950.7,RLK
174,AT1G06840,AT1G06840.1,RLK
175,AT5G10290,AT5G10290.2,RLK
176,AT5G65240,AT5G65240.2,RLK
177,AT5G16000,AT5G16000.1,RLK
178,AT3G25560,AT3G25560.3,RLK
179,AT4G30520,AT4G30520.1,RLK
180,AT2G23950,AT2G23950.1,RLK
181,AT1G60800,AT1G60800.1,RLK
182,AT5G45780,AT5G45780.1,RLK
183,AT1G71830,AT1G71830.1,RLK
184,AT1G34210,AT1G34210.2,RLK
185,AT2G13800,AT2G13800.3,RLK
186,AT2G13790,AT2G13790.1,RLK
187,AT4G33430,AT4G33430.2,RLK
188,AT4G18760,AT4G18760.1,RLP
189,AT5G10020,AT5G10020.1,RLK
190,AT4G20940,AT4G20940.1,RLK
191,AT2G27060,AT2G27060.1,RLK
192,AT2G02220,AT2G02220.1,RLK
193,AT5G53890,AT5G53890.1,RLK
194,AT1G17250,AT1G17250.1,RLP
195,AT1G72300,AT1G72300.1,RLK
196,AT1G17240,AT1G17240.2,RLP
197,AT5G58150,AT5G58150.1,RLK
198,AT2G24230,AT2G24230.1,RLK
199,AT3G28040,AT3G28040.1,RLK
200,AT3G56370,AT3G56370.1,RLK
201,AT5G01890,AT5G01890.1,RLK
202,AT4G08850,AT4G08850.1,RLK
203,AT1G35710,AT1G35710.1,RLK
204,AT2G25790,AT2G25790.1,RLK
205,AT1G17230,AT1G17230.2,RLK
206,AT2G33170,AT2G33170.2,RLK
207,AT5G63930,AT5G63930.1,RLK
208,AT1G34110,AT1G34110.1,RLK
209,AT5G56040,AT5G56040.2,RLK
210,AT5G48940,AT5G48940.1,RLK
211,AT3G24240,AT3G24240.1,RLK
212,AT1G17750,AT1G17750.1,RLK
213,AT1G73080,AT1G73080.1,RLK
214,AT4G20270,AT4G20270.1,RLK
215,AT1G75820,AT1G75820.1,RLK
216,AT5G65700,AT5G65700.2,RLK
217,AT3G49670,AT3G49670.1,RLK
218,AT1G08590,AT1G08590.1,RLK
219,AT4G28650,AT4G28650.1,RLK
220,AT5G51350,AT5G51350.1,RLK
