DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,Expression_Level
COLOR,#40004b
DATA
AT2G48010.1, 4.0
AT4G02010.1, 5.0
AT1G30570.1, 0.0
AT5G38260.1, 4.0
AT5G60900.1, 2.0
AT5G42120.1, 0.0
AT5G65600.1, 1.0
AT5G10530.1, 2.0
AT2G29220.1, 5.0
AT2G29250.1, 4.0
AT3G45420.1, 4.0
AT3G45410.1, 4.0
AT3G45430.1, 4.0
AT5G60310.1, 5.0
AT5G60300.1, 5.0
AT3G45440.1, 4.0
AT4G28350.1, 5.0
AT4G04960.1, 4.0
AT4G29050.1, 3.0
AT5G60280.1, 3.0
AT5G60320.1, 5.0
AT3G45330.1, 1.0
AT1G70110.1, 5.0
AT4G02410.1, 4.0
AT2G37710.1, 5.0
AT4G02420.1, 3.0
AT3G55550.1, 4.0
AT3G08870.1, 3.0
AT5G01550.1, 5.0
AT5G01540.1, 5.0
AT5G01560.1, 4.0
AT5G55830.1, 5.0
AT3G53380.1, 5.0
AT5G03140.1, 5.0
AT2G43690.1, 4.0
AT3G59730.1, 5.0
AT3G59740.1, 5.0
AT2G43700.1, 1.0
AT3G59750.1, 5.0
AT3G59700.1, 5.0
AT1G70130.1, 5.0
AT5G60270.1, 4.0
AT3G45390.1, 1.0
AT2G46850.1, 4.0
AT4G32300.1, 4.0
AT3G55950.1, 5.0
AT5G47850.1, 4.0
AT5G35370.1, 0.0
AT4G11900.1, 0.0
AT4G00340.1, 5.0
AT2G19130.1, 1.0
AT1G11410.1, 4.0
AT1G11340.1, 1.0
AT1G61610.1, 5.0
AT4G21390.1, 5.0
AT1G11300.1, 2.0
AT1G11350.1, 2.0
AT1G11330.1, 3.0
AT1G61370.1, 4.0
AT1G61360.1, 4.0
AT1G61380.1, 3.0
AT1G61390.1, 3.0
AT1G61480.1, 4.0
AT1G61550.1, 3.0
AT1G61500.1, 0.0
AT1G61420.1, 1.0
AT1G61490.1, 3.0
AT1G61430.1, 2.0
AT1G61400.1, 2.0
AT1G61440.1, 1.0
AT1G61460.1, 3.0
AT4G21380.1, 2.0
AT1G65800.1, 1.0
AT1G65790.1, 5.0
AT4G27300.1, 0.0
AT3G09780.1, 2.0
AT2G39180.1, 1.0
AT4G03230.1, 1.0
AT3G16030.1, 0.0
AT1G16260.1, 5.0
AT1G17910.1, 5.0
AT1G16120.1, 4.0
AT1G16160.1, 4.0
AT1G16130.1, 5.0
AT1G16150.1, 4.0
AT1G79670.1, 4.0
AT1G69730.1, 3.0
AT1G79680.1, 5.0
AT4G31110.1, 5.0
AT1G19390.1, 5.0
AT4G31100.1, 5.0
AT1G16110.1, 4.0
AT1G21210.1, 5.0
AT1G21270.1, 4.0
AT1G21240.1, 4.0
AT1G21250.1, 5.0
AT1G21230.1, 5.0
AT1G11050.1, 4.0
AT1G52310.1, 5.0
AT2G21480.1, 5.0
AT4G39110.1, 5.0
AT1G67000.1, 3.0
AT1G25390.1, 5.0
AT1G66930.1, 4.0
AT1G66910.1, 4.0
AT1G67720.1, 3.0
AT2G37050.3, 2.0
AT1G51790.2, 5.0
