Source Name,Comment[ENA_SAMPLE],Comment[BioSD_SAMPLE],Characteristics[organism],Characteristics[ecotype],Characteristics[growth condition],Characteristics[age],Unit[time unit],Characteristics[developmental stage],Characteristics[organism part],Characteristics[genotype],Characteristics[stimulus],Comment[replicate],Material Type,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Protocol REF,Performer,Extract Name,Comment[LIBRARY_LAYOUT],Comment[LIBRARY_SELECTION],Comment[LIBRARY_SOURCE],Comment[LIBRARY_STRAND],Comment[LIBRARY_STRATEGY],Protocol REF,Performer,Assay Name,Comment[technical replicate group],Technology Type,Comment[ENA_EXPERIMENT],Scan Name,Comment[SUBMITTED_FILE_NAME],Comment[ENA_RUN],Comment[FASTQ_URI],Protocol REF,Performer,Protocol REF,Derived Array Data File,Comment [Derived ArrayExpress FTP file],Factor Value[genotype],Factor Value[compound],Factor Value[dose],Unit[dose unit],Factor Value[time],Unit[time unit]
R1_Col_3-OH-FA_000,ERS5229319,SAMEA7471623,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_000,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_000,group 1,sequencing assay,ERX4623685,R1-1_Col_3-OH-FA_000.fq.gz,R1-1_Col_3-OH-FA_000.fq.gz,ERR4702690,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/000/ERR4702690/ERR4702690.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,0,minute
R1_Col_3-OH-FA_000,ERS5229319,SAMEA7471623,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_000,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_000,group 1,sequencing assay,ERX4623685,R1-2_Col_3-OH-FA_000.fq.gz,R1-2_Col_3-OH-FA_000.fq.gz,ERR4702691,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/001/ERR4702691/ERR4702691.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,0,minute
R1_Col_3-OH-FA_000,ERS5229319,SAMEA7471623,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_000,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_000,group 1,sequencing assay,ERX4623685,R1-3_Col_3-OH-FA_000.fq.gz,R1-3_Col_3-OH-FA_000.fq.gz,ERR4702692,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/002/ERR4702692/ERR4702692.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,0,minute
R1_Col_3-OH-FA_005,ERS5229320,SAMEA7471624,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_005,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_005,group 2,sequencing assay,ERX4623686,R1-1_Col_3-OH-FA_005.fq.gz,R1-1_Col_3-OH-FA_005.fq.gz,ERR4702693,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/003/ERR4702693/ERR4702693.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,5,minute
R1_Col_3-OH-FA_005,ERS5229320,SAMEA7471624,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_005,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_005,group 2,sequencing assay,ERX4623686,R1-2_Col_3-OH-FA_005.fq.gz,R1-2_Col_3-OH-FA_005.fq.gz,ERR4702694,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/004/ERR4702694/ERR4702694.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,5,minute
R1_Col_3-OH-FA_005,ERS5229320,SAMEA7471624,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_005,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_005,group 2,sequencing assay,ERX4623686,R1-3_Col_3-OH-FA_005.fq.gz,R1-3_Col_3-OH-FA_005.fq.gz,ERR4702695,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/005/ERR4702695/ERR4702695.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,5,minute
R1_Col_3-OH-FA_010,ERS5229321,SAMEA7471625,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_010,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_010,group 3,sequencing assay,ERX4623687,R1-1_Col_3-OH-FA_010.fq.gz,R1-1_Col_3-OH-FA_010.fq.gz,ERR4702696,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/006/ERR4702696/ERR4702696.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,10,minute
R1_Col_3-OH-FA_010,ERS5229321,SAMEA7471625,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_010,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-2_Col_3-OH-FA_010,group 3,sequencing assay,ERX4623687,R1-2_Col_3-OH-FA_010.fq.gz,R1-2_Col_3-OH-FA_010.fq.gz,ERR4702697,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/007/ERR4702697/ERR4702697.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,10,minute
R1_Col_3-OH-FA_010,ERS5229321,SAMEA7471625,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_010,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-3_Col_3-OH-FA_010,group 3,sequencing assay,ERX4623687,R1-3_Col_3-OH-FA_010.fq.gz,R1-3_Col_3-OH-FA_010.fq.gz,ERR4702698,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/008/ERR4702698/ERR4702698.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,10,minute
R1_Col_3-OH-FA_030,ERS5229322,SAMEA7471626,Arabidopsis thaliana,Col-0,long day length regimen,2,week,seedling development stage,whole organism,wild type genotype,3-OH-FA,1,whole organism,P-MTAB-102257,Marta Bjornson,P-MTAB-102258,Marta Bjornson,P-MTAB-102262,Marta Bjornson,P-MTAB-102259,Marta Bjornson,P-MTAB-102260,Marta Bjornson,R1_Col_3-OH-FA_030,SINGLE,Oligo-dT,TRANSCRIPTOMIC,not applicable,RNA-Seq,P-MTAB-102261,Marta Bjornson,R1-1_Col_3-OH-FA_030,group 4,sequencing assay,ERX4623688,R1-1_Col_3-OH-FA_030.fq.gz,R1-1_Col_3-OH-FA_030.fq.gz,ERR4702699,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR470/009/ERR4702699/ERR4702699.fastq.gz,P-MTAB-102263,Marta Bjornson,P-MTAB-102264,PRJEB25079_UncorrectedCounts.csv,ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-9694/E-MTAB-9694.processed.1.zip,wild type genotype,3-OH-FA,1,millimolar,30,minute
