WT,sext13,sext17,sext42,sext87,efr/fls2
0.125,0.375,0.125,0.167,0.25,0.429
0.5,0.222,0.286,0.167,0.25,0.714
0.125,0.375,0.375,0.375,0,0.429
0,0.571,0.286,0.6,0.429,0.429
0,0.333,0.333,0.222,0.4,0.7
0.143,0.714,0.222,0.5,0.375,0.5
0.25,0.429,0.375,0.429,0.222,0.6
0.3,0.5,0.25,0.5,0.143,0.7
0,0.667,0.167,0.6,0.429,0.5
0.25,0.429,0.5,0.286,0.222,0.375
0.25,0.571,0,0.286,0.571,0.75
0.5,0.5,0.333,0,0.5,0.333
0.167,0.5,0.111,0.444,0.75,0.5
0,0.5,0.143,0.375,0.5,0.375
0.143,0.625,0,0.333,0.571,0.444
0,0.333,0.333,0.667,0.375,0.75
0.333,0.375,0.286,0.4,0.375,0.778
0,0.143,0.5,0.286,0.429,0.625
0.286,0.25,0.5,0.625,0.4,0.75
0.375,0.556,0.857,0.556,0.333,0.375
0.143,0,0.375,0.875,0.286,0.375
0.333,0.5,0,0.429,0.125,0.556
,0.444,0.5,0.4,0.375,0.444
,0.286,,0.5,0.143,1
,0.556,,0.333,0.4,0.571
,0.5,,0.556,0.444,1
,0.286,,0.429,0.571,0.889
,0,,0.5,0.5,0.875
,0.375,,,0.5,0.833
,0.25,,,,0.857
,,,,,
0.375,0.375,0.5,0.286,0.625,0.5
0.222,0.5,0.111,0.6,0.3,0.6
0.286,0.375,0.333,0.2,0.5,0.4
0.222,0.125,0.222,0.5,0.444,0.429
0.222,0.333,0.333,0.444,0.125,0.333
0.143,0.5,0.222,0.125,0.222,0.4
0,0.333,0.429,0.375,0.455,0.5
0.143,0.429,0.429,0.286,0.556,0.444
0.125,0.4,0.125,0.444,0.333,0.5
0.333,0.375,0.333,0.333,0.222,0.4
0.143,0.286,0.375,0.364,0.111,0.4
0,0.167,0.5,0.286,0.571,0.571
0,0.25,0.429,0.5,0.667,0.375
0.125,0.125,0.25,0.429,0.444,0.5
0.375,0.125,0.25,0.5,0.4,0.375
0,0.375,0.6,0.333,0.333,0.222
0.286,0.286,0.429,0.333,0.444,0.222
0.333,0.2,0.444,0.143,0.333,0.5
0.125,0.5,0.25,0.375,0.273,0.556
0,0.5,0.5,0.5,0.375,0.5
0.143,0.25,,0.333,,0.625
,0.222,,0.429,,0.778
,0.333,,0.625,,
,0.333,,,,
