01_WT_DAI0,02_13_DAI0,03_17_DAI0,06_efrfls2_DAI0,07_WT_DAI3,08_13_DAI3,09_17_DAI3,12_efrfls2_DAI3
4.325279308,4.240958422,4.240958422,4.437253067,6.136223072,6.793800391,7.456558223,6.793800391
4.094830387,4.325279308,4.174011633,4.437253067,6.417049681,6.793800391,7.350102892,6.793800391
4.350102892,4.208773739,4.136223072,4.509803735,5.997920374,6.939928427,7.350102892,6.997920374
4.350102892,4.208773739,4.325279308,4.541988418,6.240958422,6.696890378,7.417049681,6.872981637
,,,,5.557228385,6.696890378,7.094830387,7.325279308
,,,,5.571951641,7.174011633,6.997920374,6.939928427
,,,,5.509803735,6.997920374,6.793800391,7.136223072
,,,,5.638898431,7.094830387,6.997920374,7.395860382
,,,,5.793800391,7.094830387,6.174011633,6.997920374
,,,,6.094830387,6.793800391,6.240958422,6.939928427
,,,,5.696890378,6.997920374,6.395860382,7.174011633
,,,,5.793800391,7.049072896,6.136223072,6.997920374
,,,,,,,
4.526194151,4.395860382,4.136223072,4.325279308,5.094830387,6.395860382,6.793800391,7.417049681
4.475041628,4.395860382,4.208773739,4.240958422,5.872981637,6.793800391,6.094830387,7.437253067
4.541988418,4.395860382,4.350102892,4.208773739,5.872981637,6.696890378,6.094830387,7.571951641
4.373583988,4.571951641,4.298950369,4.174011633,5.571951641,6.793800391,6.696890378,7.395860382
,,,,5.939928427,6.939928427,7.136223072,7.094830387
,,,,6.049072896,7.240958422,6.939928427,7.395860382
,,,,5.997920374,6.997920374,7.298950369,7.094830387
,,,,5.997920374,6.872981637,7.240958422,7.395860382
,,,,6.298950369,6.395860382,6.939928427,6.872981637
,,,,6.298950369,6.872981637,6.872981637,7.094830387
,,,,6.208773739,6.793800391,6.793800391,7.049072896
,,,,6.298950369,6.793800391,6.872981637,6.939928427
