WT_Mock,WT_RG-I,WT_flg22,efrfls2_Mock,efrfls2_RG-I,efrfls2_flg22,WT_Mock,WT_RG-I,WT_flg22,efrfls2_Mock,efrfls2_RG-I,efrfls2_flg22
3.939928427,3.872981637,3.939928427,3.939928427,3.696890378,3.939928427,6.174011633,5.997920374,5.872981637,7.939928427,7.094830387,7.571951641
3.696890378,3.793800391,3.793800391,3.793800391,3.395860382,3.696890378,6.270921646,6.298950369,5.872981637,7.939928427,7.395860382,7.571951641
3.571951641,3.395860382,3.939928427,3.571951641,3.094830387,3.997920374,6.270921646,6.373583988,5.872981637,7.872981637,7.395860382,7.094830387
3.395860382,3.571951641,3.395860382,3.696890378,3.571951641,3.696890378,6.373583988,6.270921646,5.793800391,7.997920374,7.872981637,7.696890378
,,,,,,6.094830387,5.872981637,5.997920374,7.571951641,6.395860382,7.094830387
,,,,,,6.696890378,6.094830387,5.571951641,7.395860382,6.437253067,7.094830387
,,,,,,6.793800391,5.997920374,5.395860382,7.395860382,6.509803735,7.571951641
,,,,,,6.571951641,6.240958422,5.696890378,7.094830387,6.417049681,7.395860382
,,,,,,,,,,,
3.793800391,3.395860382,3.872981637,3.395860382,3.696890378,3.939928427,6.793800391,6.136223072,5.997920374,7.094830387,6.939928427,7.350102892
3.094830387,3.571951641,3.939928427,3.793800391,3.696890378,3.997920374,6.571951641,6.094830387,5.997920374,7.395860382,7.094830387,7.350102892
3.395860382,3.395860382,3.571951641,3.571951641,3.793800391,3.793800391,6.696890378,6.136223072,6.136223072,7.793800391,7.174011633,7.395860382
3.395860382,3.793800391,3.793800391,3.696890378,3.094830387,3.696890378,6.571951641,6.049072896,6.094830387,7.094830387,7.049072896,7.325279308
,,,,,,6.571951641,5.793800391,6.094830387,7.395860382,7.373583988,7.793800391
,,,,,,6.793800391,6.094830387,5.997920374,7.571951641,7.208773739,7.696890378
,,,,,,6.395860382,6.049072896,6.174011633,7.395860382,7.240958422,7.094830387
,,,,,,6.571951641,6.174011633,6.208773739,7.395860382,7.270921646,7.395860382
