wt_0h,wt_2h,arm3b-23_0h,arm3b-23_2h,arm3b-33_0h,arm3b-33_2h,flg22_0h,flg22_2h
1.316462719,14.27118082,0.981685855,14.13989471,,,0.968170696,82.80807034
0.899170536,13.88093463,1.208597056,14.84288338,,,0.897095409,79.43481067
0.844791174,14.77445292,0.842841545,13.9452266,,,1.15135548,85.13612207
0.814131268,14.17484867,,,1.37236731,13.25619442,0.862542032,93.61026026
1.183724489,13.78723669,,,0.87458267,13.25619442,1.091768265,90.42155114
1.037659659,12.95342252,,,0.833160684,12.71619166,1.061913804,88.56070253
,,,,,,,
0.880665874,20.24244629,0.856584019,22.61662489,,,1.002313162,70.81477091
1.280463977,20.1026215,1.08422687,21.69531675,,,0.884744831,68.87833727
0.886791389,19.28372351,1.076737568,21.24883359,,,1.127660927,66.07251754
1.069299999,22.49767743,,,1.112136086,21.83197636,1.167427804,87.93531907
1.08422687,22.34227462,,,0.935191248,20.65430818,0.866537046,84.93991928
0.862542032,21.58121473,,,0.961483052,19.81293675,0.98851402,84.3531964
