wt_0h,wt_2h,arm23qd_20_0h,arm23qd_20_2h,arm23qd_32_0h,arm23qd_32_2h,flg22_0h,flg22_2h
1.028113827,14.65512464,0.98851402,15.88947993,,,1.004631674,67.80563804
1.01395948,14.45336321,0.961483052,15.13692235,,,0.990800613,73.17775917
0.959264119,15.81622433,1.052144848,16.33619401,,,1.004631674,73.68675073
1.064370182,15.80164767,,,0.935191248,15.54813636,0.972654947,85.54844701
0.920187651,14.9492696,,,0.941696017,14.208376,0.979420298,89.1813269
1.021012126,15.36955078,,,1.135504429,13.91597185,1.049716684,93.61512672
,,,,,,,
1.143402487,20.19421964,0.948246031,19.10489591,,,0.901250463,70.48301949
0.770215111,20.61854312,0.948246031,19.91619985,,,0.946057647,79.2975191
1.135504429,19.77862861,1.112136086,17.82549818,,,1.172834949,82.66494858
0.979420298,22.88678225,,,0.922316194,21.60224587,0.995389679,78.4178077
0.993092495,23.20626983,,,1.089248656,20.43696989,0.941696017,79.5124795
1.028113827,25.57110745,,,0.995389679,21.90380199,1.066832243,72.66100446
