wt_0h,wt_2h,arm3b-1_0h,arm3b-1_2h,arm3b-2_0h,arm3b-2_2h,flg22_0h,flg22_2h
0.983956654,23.86239041,0.866537046,33.90281902,,,1.125058485,73.00887782
1.061913804,23.20987209,1.143402487,36.84337537,,,0.959264119,72.00374302
0.957050307,23.53386983,1.009284801,33.90281902,,,0.926588062,71.50637684
,,,,,,,
0.990800613,32.37182209,1.049716684,19.29292524,,,0.870550563,82.71058116
0.827405623,44.22121216,0.91383145,19.97328878,,,1.189207115,81.57188015
1.21981864,35.17958763,1.042465761,19.69831061,,,0.965936329,88.03467636
,,,,,,,
0.911722489,19.72159275,,,1.248330549,17.20835753,0.977159968,75.67286521
0.990800613,22.03468192,,,1.035264924,16.73779409,1.047294123,80.54394135
1.107008782,19.99689593,,,0.773782497,16.16764338,0.977159968,77.80031902
,,,,,,,
1.061913804,30.73273305,,,1.032875715,34.57612208,1.05457863,95.12180366
1.069299999,29.68586334,,,0.899170536,34.81661803,1.025741121,97.79604155
0.880665874,31.16174602,,,1.076737568,32.26066262,0.92444966,91.88160582
