wt_0h,wt_2h,arm1db-2_0h,arm1db-2_2h,arm1db-4_0h,arm1db-4_2h,flg22_0h,flg22_2h
0.886791389,30.62720194,1.138131035,34.45739341,,,0.890898718,89.47472701
1.076737568,29.99690324,0.793700526,28.77495297,,,1.119871604,94.57640063
1.047294123,29.58392701,1.107008782,27.79477244,,,1.002313162,87.0280359
0.780966913,19.67710168,,,1.03049202,18.74515476,1.798341071,91.25167681
1.217003514,20.09055942,,,0.92873141,19.40620121,1.01161944,86.92981472
1.052144848,20.09055942,,,1.044877153,17.61149933,0.549681057,87.53445939
,,,,,,,
0.926588062,19.59814331,0.997692177,18.6268491,,,0.768437591,70.65134292
1,20.14912212,0.990800613,16.90422236,,,1,65.4646909
1.079228237,20.00994197,1.01161944,18.75640908,,,1.301341855,65.92003384
0.926588062,28.59408981,,,1.028113827,32.96001692,0.768437591,70.65134292
1,31.50797384,,,0.876605721,29.91184671,1,65.4646909
1.079228237,31.29033237,,,1.109569472,33.18927197,1.301341855,65.92003384
