wt_0h,wt_2h,arm3a-1_0h,arm3a-1_2h,arm3a-2_0h,arm3a-2_2h,flg22_0h,flg22_2h
0.870550563,23.83545895,0.950439478,28.47658356,,,1.044877153,76.55214155
1.071773463,22.86450053,1.025741121,27.50656658,,,0.909618394,74.97672126
1.071773463,24.00124767,1.025741121,28.47658356,,,1.052144848,74.45881921
,,,,,,,
0.713672127,20.55482578,0.817902059,20.9382927,,,0.897095409,85.11876057
1.268684494,19.71750685,1.042465761,29.20355113,,,0.961483052,74.6155925
1.104454001,20.84176045,1.172834949,22.13215312,,,1.159363791,68.66034676
,,,,,,,
0.930879716,34.45560218,,,1.069299999,30.41406329,1.122462048,79.1581871
0.943874313,35.17958763,,,0.833160684,32.37182209,0.983956654,70.35917526
1.138131035,32.82371589,,,1.122462048,29.58238913,0.905424761,76.46176865
,,,,,,,
1,23.44955072,,,0.876605721,22.49431262,1.047294123,78.69254397
0.946057647,22.33893305,,,1.148698355,22.65077294,0.930879716,79.79105095
1.057018041,20.84296154,,,0.993092495,21.57798699,1.025741121,77.07307484
