Mock,RG-I,OGs,flg22
1.01297819,22.21301521,,80.63494719
1.08933246,23.64287105,,83.47853246
0.90623214,22.36751895,,80.07796093
,,,
1.01297819,,29.86324277,74.55839649
1.08933246,,28.64673728,64.45850967
0.90623214,,27.86339074,74.04338403
,,,
1.01297819,25.14026749,,91.26109727
1.08933246,24.45280555,,89.38297105
0.90623214,24.794154,,92.53505471
,,,
1.019709531,35.90864539,24.90738263,80.27036102
0.96603414,36.65719673,25.63609706,76.40120126
0.94420528,30.93339519,25.2443709,74.76196394
1.075139015,29.5143784,23.07606084,67.57506044
,,,
1.01297819,22.206831,22.18186343,81.83403514
1.08933246,24.838465,22.39458729,78.861939
0.90623214,21.984121,21.37721814,77.76792486
1.0028476,22.22704229,21.12441586,74.15964043
