DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ECD Class
DATA
AT2G23450.1	#762a83
AT2G48010.1	#d9d9d9
AT4G02010.1	#d9d9d9
AT1G30570.1	#40004b
AT5G38260.1	#d9d9d9
AT5G60900.1	#9970ab
AT1G19090.1	#1b7837
AT5G42120.1	#e7d4e8
AT5G65600.1	#e7d4e8
AT5G10530.1	#e7d4e8
AT2G29220.1	#e7d4e8
AT2G29250.1	#e7d4e8
AT5G59260.1	#e7d4e8
AT3G45420.1	#e7d4e8
AT3G45410.1	#e7d4e8
AT3G45430.1	#e7d4e8
AT5G60310.1	#e7d4e8
AT5G60300.1	#e7d4e8
AT3G45440.1	#e7d4e8
AT4G28350.1	#e7d4e8
AT4G04960.1	#e7d4e8
AT4G29050.1	#e7d4e8
AT5G60280.1	#e7d4e8
AT5G60320.1	#e7d4e8
AT3G45330.1	#e7d4e8
AT1G70110.1	#e7d4e8
AT4G02410.1	#e7d4e8
AT2G37710.1	#e7d4e8
AT3G53810.1	#e7d4e8
AT4G02420.1	#e7d4e8
AT3G55550.1	#e7d4e8
AT3G08870.1	#e7d4e8
AT5G01550.1	#e7d4e8
AT5G01540.1	#e7d4e8
AT5G01560.1	#e7d4e8
AT5G55830.1	#e7d4e8
AT3G53380.1	#e7d4e8
AT5G03140.1	#e7d4e8
AT2G43690.1	#e7d4e8
AT3G59730.1	#e7d4e8
AT3G59740.1	#e7d4e8
AT2G43700.1	#e7d4e8
AT3G59750.1	#e7d4e8
AT3G59700.1	#e7d4e8
AT1G70130.1	#e7d4e8
AT5G60270.1	#e7d4e8
AT3G45390.1	#e7d4e8
AT2G46850.1	#762a83
AT3G53840.1	#762a83
AT5G02070.1	#762a83
AT4G32300.1	#9970ab
AT5G66790.1	#762a83
AT3G55950.1	#d9d9d9
AT5G47850.1	#d9d9d9
AT5G35370.1	#9970ab
AT4G11900.1	#9970ab
AT4G00340.1	#9970ab
AT2G19130.1	#9970ab
AT1G11410.1	#9970ab
AT1G11340.1	#9970ab
AT1G61610.1	#9970ab
AT4G21390.1	#9970ab
AT1G11300.1	#9970ab
AT1G11350.1	#9970ab
AT1G11330.1	#9970ab
AT1G61370.1	#9970ab
AT1G61360.1	#9970ab
AT1G61380.1	#9970ab
AT1G61390.1	#9970ab
AT1G11280.1	#9970ab
AT1G61480.1	#9970ab
AT1G61550.1	#9970ab
AT1G61500.1	#9970ab
AT1G61420.1	#9970ab
AT1G61490.1	#9970ab
AT1G61430.1	#9970ab
AT1G61400.1	#9970ab
AT1G61440.1	#9970ab
AT1G61460.1	#9970ab
AT4G27290.1	#9970ab
AT4G21380.1	#9970ab
AT1G65800.1	#9970ab
AT1G65790.1	#9970ab
AT4G27300.1	#9970ab
AT3G09780.1	#d9d9d9
AT2G39180.1	#d9d9d9
AT4G03230.1	#9970ab
AT1G67520.1	#9970ab
AT3G16030.1	#9970ab
AT1G16260.1	#762a83
AT1G17910.1	#762a83
AT1G16120.1	#762a83
AT1G16160.1	#762a83
AT1G16130.1	#762a83
AT1G16150.1	#762a83
AT1G79670.1	#762a83
AT1G69730.1	#762a83
AT1G79680.1	#762a83
AT4G31110.1	#762a83
AT1G19390.1	#762a83
AT4G31100.1	#762a83
AT1G16110.1	#762a83
AT1G21210.1	#762a83
AT1G21270.1	#762a83
AT1G21240.1	#762a83
AT1G21250.1	#762a83
AT1G21230.1	#762a83
AT1G11050.1	#d9d9d9
AT1G52310.1	#d9f0d3
AT2G21480.1	#40004b
AT4G39110.1	#40004b
AT1G67000.1	#d9d9d9
AT1G25390.1	#762a83
AT1G66930.1	#d9d9d9
AT1G66910.1	#d9d9d9
AT1G67720.1	#a6dba0
AT2G37050.3	#a6dba0
AT1G51790.2	#a6dba0
AT1G51800.1	#a6dba0
AT1G51910.1	#a6dba0
AT1G51880.1	#a6dba0
AT1G51890.2	#a6dba0
AT1G51860.1	#a6dba0
AT1G51870.1	#a6dba0
AT4G29180.2	#a6dba0
AT4G29450.1	#a6dba0
AT1G05700.2	#a6dba0
AT2G19190.1	#a6dba0
AT4G29990.1	#a6dba0
AT2G19210.1	#a6dba0
AT2G19230.1	#a6dba0
AT5G59650.2	#a6dba0
AT1G07560.1	#a6dba0
AT4G20450.1	#a6dba0
AT2G28960.2	#a6dba0
AT2G29000.1	#a6dba0
AT3G46350.1	#a6dba0
AT3G46340.1	#a6dba0
AT3G46420.1	#a6dba0
AT3G46400.1	#a6dba0
AT3G46330.1	#a6dba0
AT1G07550.1	#a6dba0
AT2G14510.1	#a6dba0
AT2G14440.1	#a6dba0
AT5G59660.3	#a6dba0
AT5G59670.2	#a6dba0
AT5G59680.1	#a6dba0
AT5G16900.3	#a6dba0
AT1G49100.1	#a6dba0
AT3G21340.1	#a6dba0
AT2G04300.2	#a6dba0
AT1G51805.1	#a6dba0
AT1G51850.2	#a6dba0
AT1G51820.1	#a6dba0
AT2G28970.1	#a6dba0
AT2G28990.1	#a6dba0
AT1G51810.1	#a6dba0
AT3G46370.2	#a6dba0
AT1G51830.2	#a6dba0
AT1G28340.1	#5aae61
AT5G38210.1	#762a83
AT1G18390.1	#762a83
AT4G18250.1	#d9d9d9
AT4G23290.2	#1b7837
AT5G38240.1	#d9d9d9
AT5G38250.1	#d9d9d9
AT1G66920.1	#d9d9d9
AT1G66980.1	#d9d9d9
AT3G02130.1	#a6dba0
AT5G63710.3	#a6dba0
AT5G37450.2	#a6dba0
AT3G53590.1	#a6dba0
AT5G01950.7	#a6dba0
AT1G06840.1	#a6dba0
AT5G10290.2	#a6dba0
AT5G65240.2	#a6dba0
AT5G16000.1	#a6dba0
AT3G25560.3	#a6dba0
AT4G30520.1	#a6dba0
AT2G23950.1	#a6dba0
AT1G60800.1	#a6dba0
AT5G45780.1	#a6dba0
AT1G71830.1	#a6dba0
AT1G34210.2	#a6dba0
AT2G13800.3	#a6dba0
AT2G13790.1	#a6dba0
AT4G33430.2	#a6dba0
AT4G18760.1	#5aae61
AT5G10020.1	#a6dba0
AT4G20940.1	#a6dba0
AT2G27060.1	#a6dba0
AT2G02220.1	#a6dba0
AT5G53890.1	#a6dba0
AT1G17250.1	#5aae61
AT1G72300.1	#a6dba0
AT1G17240.2	#5aae61
AT5G58150.1	#a6dba0
AT2G24230.1	#a6dba0
AT3G28040.1	#a6dba0
AT3G56370.1	#a6dba0
AT5G01890.1	#a6dba0
AT4G08850.1	#a6dba0
AT1G35710.1	#a6dba0
AT2G25790.1	#a6dba0
AT1G17230.2	#a6dba0
AT2G33170.2	#a6dba0
AT5G63930.1	#a6dba0
AT1G34110.1	#a6dba0
AT5G56040.2	#a6dba0
AT5G48940.1	#a6dba0
AT3G24240.1	#a6dba0
AT1G17750.1	#a6dba0
AT1G73080.1	#a6dba0
AT4G20270.1	#a6dba0
AT1G75820.1	#a6dba0
AT5G65700.2	#a6dba0
AT3G49670.1	#a6dba0
AT1G08590.1	#a6dba0
AT4G28650.1	#a6dba0
AT5G51350.1	#a6dba0
AT5G61480.1	#a6dba0
AT5G06940.1	#a6dba0
AT1G72180.1	#a6dba0
AT5G65710.1	#a6dba0
AT1G28440.1	#a6dba0
AT4G28490.1	#a6dba0
AT5G49660.1	#a6dba0
AT4G26540.1	#a6dba0
AT5G07280.1	#a6dba0
AT2G24130.2	#a6dba0
AT1G67510.1	#a6dba0
AT1G66830.1	#a6dba0
AT2G01210.1	#a6dba0
AT1G25320.1	#a6dba0
AT5G46330.2	#a6dba0
AT4G20140.1	#a6dba0
AT5G44700.1	#a6dba0
AT2G26330.1	#a6dba0
AT5G62230.1	#a6dba0
AT5G07180.1	#a6dba0
AT1G34420.1	#a6dba0
AT2G41820.1	#a6dba0
AT1G62950.1	#a6dba0
AT1G12460.1	#a6dba0
