DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL, Size
COLOR,#a50026
FIELD_SHAPES,6
FIELD_LABELS,f1
DATA
AT2G23450.1, -1
AT2G48010.1, 1
AT4G02010.1, 1
AT1G30570.1, -1
AT5G38260.1, 1
AT5G60900.1, 1
AT1G19090.1, -1
AT5G42120.1, -1
AT5G65600.1, 1
AT5G10530.1, 1
AT2G29220.1, 1
AT2G29250.1, 1
AT5G59260.1, -1
AT3G45420.1, 1
AT3G45410.1, 1
AT3G45430.1, 1
AT5G60310.1, 1
AT5G60300.1, 1
AT3G45440.1, 1
AT4G28350.1, 1
AT4G04960.1, 1
AT4G29050.1, 1
AT5G60280.1, 1
AT5G60320.1, 1
AT3G45330.1, 1
AT1G70110.1, 1
AT4G02410.1, 1
AT2G37710.1, 1
AT3G53810.1, -1
AT4G02420.1, 1
AT3G55550.1, 1
AT3G08870.1, 1
AT5G01550.1, 1
AT5G01540.1, 1
AT5G01560.1, 1
AT5G55830.1, 1
AT3G53380.1, 1
AT5G03140.1, 1
AT2G43690.1, 1
AT3G59730.1, 1
AT3G59740.1, 1
AT2G43700.1, 1
AT3G59750.1, 1
AT3G59700.1, 1
AT1G70130.1, 1
AT5G60270.1, 1
AT3G45390.1, 1
AT2G46850.1, 1
AT3G53840.1, -1
AT5G02070.1, -1
AT4G32300.1, 1
AT5G66790.1, -1
AT3G55950.1, 1
AT5G47850.1, 1
AT5G35370.1, -1
AT4G11900.1, -1
AT4G00340.1, 1
AT2G19130.1, 1
AT1G11410.1, 1
AT1G11340.1, 1
AT1G61610.1, 1
AT4G21390.1, 1
AT1G11300.1, 1
AT1G11350.1, 1
AT1G11330.1, 1
AT1G61370.1, 1
AT1G61360.1, 1
AT1G61380.1, 1
AT1G61390.1, 1
AT1G11280.1, -1
AT1G61480.1, 1
AT1G61550.1, 1
AT1G61500.1, -1
AT1G61420.1, 1
AT1G61490.1, 1
AT1G61430.1, 1
AT1G61400.1, 1
AT1G61440.1, 1
AT1G61460.1, 1
AT4G27290.1, -1
AT4G21380.1, 1
AT1G65800.1, 1
AT1G65790.1, 1
AT4G27300.1, -1
AT3G09780.1, 1
AT2G39180.1, 1
AT4G03230.1, 1
AT1G67520.1, -1
AT3G16030.1, -1
AT1G16260.1, 1
AT1G17910.1, 1
AT1G16120.1, 1
AT1G16160.1, 1
AT1G16130.1, 1
AT1G16150.1, 1
AT1G79670.1, 1
AT1G69730.1, 1
AT1G79680.1, 1
AT4G31110.1, 1
AT1G19390.1, 1
AT4G31100.1, 1
AT1G16110.1, 1
AT1G21210.1, 1
AT1G21270.1, 1
AT1G21240.1, 1
AT1G21250.1, 1
AT1G21230.1, 1
AT1G11050.1, 1
AT1G52310.1, 1
AT2G21480.1, 1
AT4G39110.1, 1
AT1G67000.1, 1
AT1G25390.1, 1
AT1G66930.1, 1
AT1G66910.1, 1
AT1G67720.1, 1
AT2G37050.3, 1
AT1G51790.2, 1
AT1G51800.1, 1
AT1G51910.1, 1
AT1G51880.1, 1
AT1G51890.2, 1
AT1G51860.1, 1
AT1G51870.1, -1
AT4G29180.2, 1
AT4G29450.1, 1
AT1G05700.2, 1
AT2G19190.1, 1
AT4G29990.1, -1
AT2G19210.1, -1
AT2G19230.1, 1
AT5G59650.2, 1
AT1G07560.1, 1
AT4G20450.1, 1
AT2G28960.2, 1
AT2G29000.1, -1
AT3G46350.1, 1
AT3G46340.1, 1
AT3G46420.1, 1
AT3G46400.1, 1
AT3G46330.1, 1
AT1G07550.1, -1
AT2G14510.1, -1
AT2G14440.1, 1
AT5G59660.3, 1
AT5G59670.2, 1
AT5G59680.1, 1
AT5G16900.3, 1
AT1G49100.1, 1
AT3G21340.1, 1
AT2G04300.2, 1
AT1G51805.1, 1
AT1G51850.2, 1
AT1G51820.1, 1
AT2G28970.1, 1
AT2G28990.1, 1
AT1G51810.1, 1
AT3G46370.2, 1
AT1G51830.2, 1
AT1G28340.1, 1
AT5G38210.1, 1
AT1G18390.1, 1
AT4G18250.1, 1
AT4G23290.2, 1
AT5G38240.1, 1
AT5G38250.1, 1
AT1G66920.1, 1
AT1G66980.1, -1
AT3G02130.1, 1
AT5G63710.3, 1
AT5G37450.2, 1
AT3G53590.1, 1
AT5G01950.7, 1
AT1G06840.1, 1
AT5G10290.2, -1
AT5G65240.2, -1
AT5G16000.1, 1
AT3G25560.3, 1
AT4G30520.1, -1
AT2G23950.1, 1
AT1G60800.1, 1
AT5G45780.1, -1
AT1G71830.1, 1
AT1G34210.2, 1
AT2G13800.3, 1
AT2G13790.1, 1
AT4G33430.2, 1
AT4G18760.1, 1
AT5G10020.1, 1
AT4G20940.1, -1
AT2G27060.1, 1
AT2G02220.1, 1
AT5G53890.1, -1
AT1G17250.1, 1
AT1G72300.1, -1
AT1G17240.2, 1
AT5G58150.1, 1
AT2G24230.1, -1
AT3G28040.1, 1
AT3G56370.1, 1
AT5G01890.1, 1
AT4G08850.1, 1
AT1G35710.1, -1
AT2G25790.1, 1
AT1G17230.2, 1
AT2G33170.2, 1
AT5G63930.1, 1
AT1G34110.1, -1
AT5G56040.2, 1
AT5G48940.1, -1
AT3G24240.1, -1
AT1G17750.1, -1
AT1G73080.1, -1
AT4G20270.1, 1
AT1G75820.1, 1
AT5G65700.2, 1
AT3G49670.1, 1
AT1G08590.1, 1
AT4G28650.1, 1
AT5G51350.1, 1
AT5G61480.1, 1
AT5G06940.1, -1
AT1G72180.1, -1
AT5G65710.1, 1
AT1G28440.1, 1
AT4G28490.1, 1
AT5G49660.1, 1
AT4G26540.1, 1
AT5G07280.1, 1
AT2G24130.2, -1
AT1G67510.1, 1
AT1G66830.1, 1
AT2G01210.1, 1
AT1G25320.1, -1
AT5G46330.2, -1
AT4G20140.1, 1
AT5G44700.1, 1
AT2G26330.1, 1
AT5G62230.1, 1
AT5G07180.1, 1
AT1G34420.1, 1
AT2G41820.1, -1
AT1G62950.1, 1
AT1G12460.1, 1
AT1G07390.3, -1
AT3G53240.2, -1
AT1G58190.2, -1
AT1G74170.2, -1
AT1G74190.1, -1
AT2G25470.3, -1
AT5G49290.2, -1
AT1G74180.1, -1
AT3G56100.1, 1
AT3G51740.1, 1
AT4G04220.1, -1
AT4G13920.1, -1
AT4G13880.1, -1
AT4G13810.2, -1
AT4G13900.1, -1
AT5G40170.1, -1
AT2G33080.1, -1
AT3G24900.2, -1
AT3G25010.2, -1
AT3G24982.1, -1
AT3G25020.1, -1
AT2G32680.1, -1
AT2G33020.1, -1
AT2G33060.1, -1
AT2G33050.1, 1
AT2G25440.1, -1
AT2G32660.2, -1
AT1G71400.1, -1
AT1G71390.2, -1
AT3G05360.1, -1
AT3G05370.1, -1
AT3G23010.1, -1
AT3G23110.1, -1
AT3G23120.1, -1
AT1G47890.1, -1
AT1G45616.1, -1
AT5G25910.1, -1
AT2G15080.2, -1
AT3G05660.1, -1
AT3G05650.1, -1
AT3G11080.2, -1
AT3G11010.2, -1
AT5G27060.2, -1
AT3G28890.2, -1
AT5G53320.1, -1
AT4G39400.1, 1
AT3G47580.1, -1
AT5G25930.1, 1
AT3G24660.1, 1
AT3G19700.1, 1
AT1G09970.2, 1
AT1G74360.1, 1
AT2G42800.1, -1
AT1G80080.1, 1
AT2G16250.1, 1
AT4G39270.1, 1
AT5G24080.1, -1
AT5G63410.1, -1
AT5G14210.2, -1
AT3G03770.3, -1
AT2G02780.1, 1
AT1G14390.1, 1
AT3G23750.1, -1
AT1G24650.1, 1
AT2G01820.1, 1
AT1G66150.1, 1
AT2G31880.1, 1
AT1G69270.1, -1
AT5G07150.1, 1
AT4G18640.1, -1
AT5G45840.1, 1
AT5G41180.1, -1
AT1G63430.2, -1
AT1G34290.1, 1
AT2G01950.1, 1
AT1G55610.2, 1
AT3G13380.1, 1
AT3G28450.1, -1
AT1G27190.1, 1
AT1G69990.1, 1
AT5G48380.1, 1
AT4G22730.1, 1
AT2G45340.1, 1
AT5G51560.1, -1
AT1G65380.1, -1
AT5G65830.1, 1
AT3G49750.1, 1
AT2G15300.1, 1
AT4G34220.1, 1
AT5G67280.1, -1
AT2G23300.1, 1
AT4G37250.1, -1
AT5G24100.1, -1
AT1G64210.1, 1
AT4G23740.2, -1
AT3G08680.2, -1
AT5G05160.1, -1
AT5G58300.3, -1
AT2G26730.1, -1
AT1G48480.1, -1
AT3G17840.1, 1
AT3G02880.1, 1
AT5G16590.1, -1
AT2G35620.4, 1
AT1G31420.3, 1
AT3G47570.1, -1
AT3G47090.1, -1
AT3G47110.1, 1
AT5G20480.2, -1
AT5G62710.1, -1
AT3G42880.1, 1
AT5G20690.1, 1
AT1G72460.1, 1
AT4G31250.1, 1
AT2G07040.1, -1
AT5G35390.1, 1
AT3G20190.1, 1
AT1G50610.1, 1
AT5G43020.1, -1
AT5G67200.1, 1
AT3G50230.2, -1
AT1G68400.1, 1
AT1G10850.1, 1
AT1G60630.1, 1
AT2G42290.1, 1
AT3G57830.3, -1
AT1G75640.1, 1
AT4G36180.1, 1
AT5G39390.1, -1
AT2G36570.1, -1
AT1G11130.1, 1
AT4G03390.1, -1
