Tree_order,Gene,Protein,iTOL_label,Protein_name,Type,Class,Sequence,Signal_peptide,ECD_start,ECD_end,TM,Cytoplasm,MW_ECD,MW_(ECD+FC),Tree,Cloning,AddGene,Batch,Expression,Size,Glycan_array,ARM,Simple_Class
1,AT2G23450,AT2G23450.1,AT2G23450 WAKL14,WAKL14,RLK,WAKL,Y,42,43,293,294-305,306-708,27.1,56.9,Y,,,,,,,,WAK
2,AT2G48010,AT2G48010.1,AT2G48010 RKF3,RKF3,RLK,RKF3,Y,20,21,212,213-233,234-617,20.5,50.3,Y,X303,,#4,4,O,O,,Etc
3,AT4G02010,AT4G02010.1,AT4G02010 ,,RLK,Extensin,Y,41,42,306,307-327,328-725,28.6,58.4,Y,X272,,#5,5,O,O,,Etc
4,AT1G30570,AT1G30570.1,AT1G30570 HERK2,HERK2,RLK,CrRLK1L-1,Y,26,27,429,430-453,454-849,44.2,74,Y,F11,,#16,0,,,,CrRLK1L-1
5,AT5G38260,AT5G38260.1,AT5G38260 ,,RLK,LRK10L-2,Y,29,30,262,263-285,286-638,26.1,55.9,Y,X291,,#5,4,O,O,,Etc
6,AT5G60900,AT5G60900.1,AT5G60900 RLK1,RLK1,RLK,SD-2b,Y,24,25,434,435-444,445-748,45.8,75.6,Y,I06,,#8,2,O,,,SD-RK
7,AT1G19090,AT1G19090.1,AT1G19090 CRK1/RKF2,CRK1/RKF2,RLK,DUF26,Y,25,26,266,267-287,288-600,27.3,57.1,Y,,,,,,,,CRK
8,AT5G42120,AT5G42120.1,AT5G42120 LECRK-S.6,LECRK-S.6,RLK,L-LEC,Y,25,26,310,311-331,332-691,31.5,61.3,Y,X259,,#5,0,,,,L-LEC-RK
9,AT5G65600,AT5G65600.1,AT5G65600 LECRK-IX.2,LECRK-IX.2,RLK,L-LEC,Y,35,36,283,284-306,307-675,27.2,57,Y,X261,,#6,1,O,O,,L-LEC-RK
10,AT5G10530,AT5G10530.1,AT5G10530 LECRK-IX.1,LECRK-IX.1,RLK,L-LEC,Y,19,20,268,269-291,292-651,27.4,57.2,Y,X260,,#5,2,O,O,,L-LEC-RK
11,AT2G29220,AT2G29220.1,AT2G29220 LECRK-III.1,LECRK-III.1,RLK,L-LEC,Y,23,24,305,306-326,327-627,30.3,60.1,Y,X264,,#4,5,O,O,,L-LEC-RK
