AT1G49730.1 | Symbols:  | Protein kinase superfamily protein | chr1:18402618-18405638 REVERSE LENGTH=693
AT1G65800.1 | Symbols: ARK2, RK2 | receptor kinase 2 | chr1:24473166-24476523 FORWARD LENGTH=847
AT1G65790.1 | Symbols: ARK1, RK1 | receptor kinase 1 | chr1:24468932-24472329 FORWARD LENGTH=843
AT1G10850.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:3612228-3614343 FORWARD LENGTH=663
AT1G70530.1 | Symbols: CRK3 | cysteine-rich RLK (RECEPTOR-like protein kinase) 3 | chr1:26588750-26591379 REVERSE LENGTH=646
AT1G70520.1 | Symbols: CRK2 | cysteine-rich RLK (RECEPTOR-like protein kinase) 2 | chr1:26584888-26587334 REVERSE LENGTH=649
AT1G16260.1 | Symbols:  | Wall-associated kinase family protein | chr1:5559708-5562018 REVERSE LENGTH=720
AT1G47890.1 | Symbols: AtRLP7, RLP7 | receptor like protein 7 | chr1:17643976-17647035 FORWARD LENGTH=1019
AT1G17250.1 | Symbols: AtRLP3, RLP3 | receptor like protein 3 | chr1:5901169-5903439 REVERSE LENGTH=756
AT1G07550.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:2322709-2326512 REVERSE LENGTH=864
AT1G07560.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:2327320-2331096 FORWARD LENGTH=871
AT1G70460.1 | Symbols: RHS10 | root hair specific 10 | chr1:26556155-26558994 FORWARD LENGTH=710
AT1G21210.1 | Symbols: WAK4 | wall associated kinase 4 | chr1:7424653-7427041 FORWARD LENGTH=738
AT1G21240.1 | Symbols: WAK3 | wall associated kinase 3 | chr1:7434303-7436702 FORWARD LENGTH=741
AT1G21230.1 | Symbols: WAK5 | wall associated kinase 5 | chr1:7429980-7432346 FORWARD LENGTH=733
AT1G21270.1 | Symbols: WAK2 | wall-associated kinase 2 | chr1:7444997-7447345 FORWARD LENGTH=732
AT1G16130.1 | Symbols: WAKL2 | wall associated kinase-like 2 | chr1:5525634-5528047 FORWARD LENGTH=748
AT1G16150.1 | Symbols: WAKL4 | wall associated kinase-like 4 | chr1:5532415-5534877 FORWARD LENGTH=779
AT1G16160.1 | Symbols: WAKL5 | wall associated kinase-like 5 | chr1:5535973-5538269 FORWARD LENGTH=711
AT1G21250.1 | Symbols: WAK1, PRO25 | cell wall-associated kinase | chr1:7439512-7441892 FORWARD LENGTH=735
AT1G16120.1 | Symbols: WAKL1 | wall associated kinase-like 1 | chr1:5522639-5524983 FORWARD LENGTH=730
AT1G16110.1 | Symbols: WAKL6 | wall associated kinase-like 6 | chr1:5518381-5520470 FORWARD LENGTH=642
AT1G67510.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:25297477-25300184 REVERSE LENGTH=719
AT1G60800.1 | Symbols: NIK3 | NSP-interacting kinase 3 | chr1:22383601-22386931 REVERSE LENGTH=632
AT1G67520.1 | Symbols:  | lectin protein kinase family protein | chr1:25303439-25305857 REVERSE LENGTH=587
AT1G34420.1 | Symbols:  | leucine-rich repeat transmembrane protein kinase family protein | chr1:12584587-12587570 FORWARD LENGTH=966
AT1G11410.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:3841286-3844284 FORWARD LENGTH=845
AT1G11280.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:3787456-3790728 REVERSE LENGTH=830
AT1G11300.1 | Symbols:  | protein serine/threonine kinases;protein kinases;ATP binding;sugar binding;kinases;carbohydrate binding | chr1:3794389-3800719 FORWARD LENGTH=1650
AT1G29740.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:10407379-10412997 REVERSE LENGTH=1078
AT1G11350.1 | Symbols: CBRLK1, SD1-13, RKS2 | S-domain-1 13 | chr1:3817725-3820752 REVERSE LENGTH=830
AT1G11340.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:3814116-3817420 REVERSE LENGTH=901
AT1G53430.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:19935298-19940959 FORWARD LENGTH=1030
AT1G53420.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:19926626-19931494 REVERSE LENGTH=953
AT1G53440.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:19945959-19951562 FORWARD LENGTH=1035
AT1G60630.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:22334754-22336785 REVERSE LENGTH=652
AT1G27190.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:9446923-9448728 REVERSE LENGTH=601
AT1G56140.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:21001708-21007725 REVERSE LENGTH=1033
AT1G79670.1 | Symbols: RFO1, WAKL22 | Wall-associated kinase family protein | chr1:29976887-29979337 REVERSE LENGTH=751
AT1G11050.1 | Symbols:  | Protein kinase superfamily protein | chr1:3681892-3683769 FORWARD LENGTH=625
AT1G80080.1 | Symbols: TMM, AtRLP17 | Leucine-rich repeat (LRR) family protein | chr1:30128073-30129563 REVERSE LENGTH=496
AT1G50610.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:18742171-18744501 FORWARD LENGTH=686
AT1G56120.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:20987288-20993072 REVERSE LENGTH=1047
AT1G34110.1 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:12417331-12421246 REVERSE LENGTH=1072
AT1G66150.1 | Symbols: TMK1 | transmembrane kinase 1 | chr1:24631503-24634415 FORWARD LENGTH=942
AT1G34290.1 | Symbols: AtRLP5, RLP5 | receptor like protein 5 | chr1:12498000-12498800 FORWARD LENGTH=266
AT1G34300.1 | Symbols:  | lectin protein kinase family protein | chr1:12503450-12505939 FORWARD LENGTH=829
AT1G23540.1 | Symbols: IGI1, AtPERK12 | Protein kinase superfamily protein | chr1:8346942-8349786 REVERSE LENGTH=720
AT1G11130.1 | Symbols: SUB, SCM, SRF9 | Leucine-rich repeat protein kinase family protein | chr1:3723135-3727178 FORWARD LENGTH=768
AT1G51820.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19237407-19241883 REVERSE LENGTH=885
AT1G51860.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19257634-19261479 REVERSE LENGTH=890
AT1G51880.1 | Symbols: RHS6 | root hair specific 6 | chr1:19270193-19274068 REVERSE LENGTH=880
AT1G51870.1 | Symbols:  | protein kinase family protein | chr1:19262879-19267001 REVERSE LENGTH=837
AT1G51800.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19214203-19217833 FORWARD LENGTH=894
AT1G51805.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19221187-19225590 REVERSE LENGTH=884
AT1G51810.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19227119-19230584 REVERSE LENGTH=744
AT1G51910.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:19284277-19288385 REVERSE LENGTH=876
AT1G51940.1 | Symbols:  | protein kinase family protein / peptidoglycan-binding LysM domain-containing protein | chr1:19296092-19298941 REVERSE LENGTH=651
AT1G25320.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:8877988-8880180 FORWARD LENGTH=702
AT1G65380.1 | Symbols: CLV2, AtRLP10 | Leucine-rich repeat (LRR) family protein | chr1:24286943-24289105 FORWARD LENGTH=720
AT1G24650.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:8734570-8737315 FORWARD LENGTH=886
AT1G10620.1 | Symbols:  | Protein kinase superfamily protein | chr1:3509001-3511975 REVERSE LENGTH=718
AT1G61550.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22704866-22707826 REVERSE LENGTH=802
AT1G69910.1 | Symbols:  | Protein kinase superfamily protein | chr1:26330166-26332076 FORWARD LENGTH=636
AT1G69990.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:26360235-26362010 REVERSE LENGTH=591
AT1G61610.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22733472-22736509 FORWARD LENGTH=842
AT1G69730.1 | Symbols:  | Wall-associated kinase family protein | chr1:26228703-26231339 REVERSE LENGTH=792
AT1G35710.1 | Symbols:  | Protein kinase family protein with leucine-rich repeat domain | chr1:13220940-13224386 FORWARD LENGTH=1120
AT1G61370.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22642096-22645147 REVERSE LENGTH=814
AT1G61380.1 | Symbols: SD1-29 | S-domain-1 29 | chr1:22646277-22649401 REVERSE LENGTH=805
AT1G61390.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22650338-22653639 REVERSE LENGTH=831
AT1G61360.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22637867-22640974 REVERSE LENGTH=821
AT1G61400.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22654638-22657774 REVERSE LENGTH=819
AT1G08590.1 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:2718859-2721948 FORWARD LENGTH=1029
AT1G61490.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22685154-22688267 REVERSE LENGTH=804
AT1G61480.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22681420-22684404 REVERSE LENGTH=809
AT1G61460.1 | Symbols:  | S-locus protein kinase, putative | chr1:22674268-22676735 REVERSE LENGTH=598
AT1G70110.1 | Symbols:  | Concanavalin A-like lectin protein kinase family protein | chr1:26406238-26408323 REVERSE LENGTH=666
AT1G61500.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22689729-22692881 REVERSE LENGTH=804
AT1G70130.1 | Symbols:  | Concanavalin A-like lectin protein kinase family protein | chr1:26409743-26411801 REVERSE LENGTH=656
AT1G45616.1 | Symbols: AtRLP6, RLP6 | receptor like protein 6 | chr1:17183550-17186534 REVERSE LENGTH=994
AT1G61440.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22669245-22672323 REVERSE LENGTH=792
AT1G61430.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22664669-22667769 REVERSE LENGTH=806
AT1G61420.1 | Symbols:  | S-locus lectin protein kinase family protein | chr1:22660557-22663596 REVERSE LENGTH=807
AT1G72460.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:27279510-27281533 FORWARD LENGTH=644
AT1G49100.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:18166147-18170105 REVERSE LENGTH=888
AT1G64210.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:23831033-23832863 FORWARD LENGTH=587
AT1G19090.1 | Symbols: RKF2, CRK1 | receptor-like serine/threonine kinase 2 | chr1:6590350-6592615 FORWARD LENGTH=600
AT1G70250.1 | Symbols:  | receptor serine/threonine kinase, putative | chr1:26452975-26456088 FORWARD LENGTH=799
AT1G73080.1 | Symbols: PEPR1, ATPEPR1 | PEP1 receptor 1 | chr1:27484513-27488021 FORWARD LENGTH=1123
AT1G75820.1 | Symbols: CLV1, FAS3, FLO5, ATCLV1 | Leucine-rich receptor-like protein kinase family protein | chr1:28463631-28466652 REVERSE LENGTH=980
AT1G69270.1 | Symbols: RPK1 | receptor-like protein kinase 1 | chr1:26040877-26042499 REVERSE LENGTH=540
AT1G72180.1 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:27164074-27167204 FORWARD LENGTH=977
AT1G49270.1 | Symbols:  | Protein kinase superfamily protein | chr1:18227334-18230227 REVERSE LENGTH=699
AT1G14390.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:4924277-4926794 FORWARD LENGTH=747
AT1G75640.1 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:28403600-28407022 REVERSE LENGTH=1140
AT1G19390.1 | Symbols:  | Wall-associated kinase family protein | chr1:6700772-6703368 REVERSE LENGTH=788
AT1G72300.1 | Symbols:  | Leucine-rich receptor-like protein kinase family protein | chr1:27217679-27220966 REVERSE LENGTH=1095
AT1G26150.1 | Symbols: ATPERK10, PERK10 | proline-rich extensin-like receptor kinase 10 | chr1:9039790-9042873 REVERSE LENGTH=762
AT1G25390.1 | Symbols:  | Protein kinase superfamily protein | chr1:8906640-8908800 REVERSE LENGTH=629
AT1G30570.1 | Symbols: HERK2 | hercules receptor kinase 2 | chr1:10828933-10831482 FORWARD LENGTH=849
AT1G52310.1 | Symbols:  | protein kinase family protein / C-type lectin domain-containing protein | chr1:19478401-19480462 FORWARD LENGTH=552
AT1G52290.1 | Symbols:  | Protein kinase superfamily protein | chr1:19470251-19472362 REVERSE LENGTH=509
AT1G67000.1 | Symbols:  | Protein kinase superfamily protein | chr1:25004217-25007604 REVERSE LENGTH=892
AT1G66930.1 | Symbols:  | Protein kinase superfamily protein | chr1:24970523-24973069 FORWARD LENGTH=674
AT1G79680.1 | Symbols: WAKL10, ATWAKL10 | WALL ASSOCIATED KINASE (WAK)-LIKE 10 | chr1:29980188-29982749 REVERSE LENGTH=769
AT1G66910.1 | Symbols:  | Protein kinase superfamily protein | chr1:24961634-24963941 REVERSE LENGTH=666
AT1G66980.1 | Symbols: SNC4 | suppressor of npr1-1 constitutive 4 | chr1:24997491-25001961 REVERSE LENGTH=1118
AT1G74360.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:27954299-27957911 FORWARD LENGTH=1106
AT1G17750.1 | Symbols: PEPR2, AtPEPR2 | PEP1 receptor 2 | chr1:6106656-6110008 FORWARD LENGTH=1088
AT1G28440.1 | Symbols: HSL1 | HAESA-like 1 | chr1:9996914-10000171 FORWARD LENGTH=996
AT1G12460.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:4247703-4250444 FORWARD LENGTH=882
AT1G62950.1 | Symbols:  | leucine-rich repeat transmembrane protein kinase family protein | chr1:23315294-23318061 FORWARD LENGTH=890
AT1G74190.1 | Symbols: AtRLP15, RLP15 | receptor like protein 15 | chr1:27902590-27906158 REVERSE LENGTH=965
AT1G17910.1 | Symbols:  | Wall-associated kinase family protein | chr1:6159126-6161615 FORWARD LENGTH=764
AT1G74180.1 | Symbols: AtRLP14, RLP14 | receptor like protein 14 | chr1:27897197-27900908 REVERSE LENGTH=976
AT1G48480.1 | Symbols: RKL1 | receptor-like kinase 1 | chr1:17918475-17920743 FORWARD LENGTH=655
AT1G67720.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:25386494-25390856 FORWARD LENGTH=929
AT1G78980.1 | Symbols: SRF5 | STRUBBELIG-receptor family 5 | chr1:29707923-29711266 REVERSE LENGTH=699
AT1G28340.1 | Symbols: AtRLP4, RLP4 | receptor like protein 4 | chr1:9940175-9943252 FORWARD LENGTH=626
AT1G68690.1 | Symbols:  | Protein kinase superfamily protein | chr1:25789192-25791886 FORWARD LENGTH=708
AT1G71400.1 | Symbols: AtRLP12, RLP12 | receptor like protein 12 | chr1:26909905-26912448 FORWARD LENGTH=847
AT1G66880.1 | Symbols:  | Protein kinase superfamily protein | chr1:24946928-24955438 FORWARD LENGTH=1296
AT1G68400.1 | Symbols:  | leucine-rich repeat transmembrane protein kinase family protein | chr1:25646401-25648916 REVERSE LENGTH=670
AT1G66830.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:24930700-24932834 REVERSE LENGTH=685
AT1G06840.1 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:2097854-2103208 REVERSE LENGTH=953
AT1G15530.1 | Symbols:  | Concanavalin A-like lectin protein kinase family protein | chr1:5339961-5341931 REVERSE LENGTH=656
AT1G71830.1 | Symbols: SERK1, ATSERK1 | somatic embryogenesis receptor-like kinase 1 | chr1:27018575-27021842 FORWARD LENGTH=625
AT1G29750.2 | Symbols: RKF1 | receptor-like kinase in flowers 1 | chr1:10414071-10420469 REVERSE LENGTH=1021
AT1G09970.2 | Symbols: LRR XI-23, RLK7 | Leucine-rich receptor-like protein kinase family protein | chr1:3252408-3255428 FORWARD LENGTH=977
AT1G53730.2 | Symbols: SRF6 | STRUBBELIG-receptor family 6 | chr1:20061771-20065475 FORWARD LENGTH=720
AT1G29720.1 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:10393894-10399771 REVERSE LENGTH=1019
AT1G07390.3 | Symbols: AtRLP1, RLP1 | receptor like protein 1 | chr1:2269893-2274654 FORWARD LENGTH=1083
AT1G07650.2 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:2359817-2366423 REVERSE LENGTH=1020
AT1G63430.2 | Symbols:  | Leucine-rich repeat protein kinase family protein | chr1:23522896-23526451 FORWARD LENGTH=688
AT1G56145.2 | Symbols:  | Leucine-rich repeat transmembrane protein kinase | chr1:21008225-21013934 REVERSE LENGTH=1039
AT1G58190.2 | Symbols: RLP9 | receptor like protein 9 | chr1:21540720-21547996 FORWARD LENGTH=1029
